        W      X      Y      Z       D Z.value
1     BLK     AK  ABC_A    EBB -0.1543 -29.149
2     BLK     PB  ABC_A    EBB -0.1524 -28.918
3     BLK     PB ABC_BC    EBB -0.1322 -26.263
4     BLK     AK ABC_BC    EBB -0.1327 -26.054
5     BLK     AK     BB    EBB -0.0739 -25.658
6     BLK     PB     BB    EBB -0.0721 -25.498
7     BLK     PB     YB    EBB -0.0865 -18.835
8     BLK     AK     YB    EBB -0.0872 -18.687
9     BLK     AK  ABC_A     BB -0.0904 -17.696
10    BLK     PB  ABC_A     BB -0.0898 -17.653
12    BLK     PB ABC_BC     BB -0.0681 -14.069
13    BLK     AK ABC_BC     BB -0.0668 -13.618
14    BLK     AK  ABC_A     YB -0.0796 -12.338
15    BLK     PB  ABC_A     YB -0.0781 -12.091
20    BLK     PB ABC_BC     YB -0.0554  -8.945
21    BLK     AK ABC_BC     YB -0.0554  -8.902
30    BLK     AK  ABC_A ABC_BC -0.0275  -4.784
31    BLK     PB  ABC_A ABC_BC -0.0255  -4.519
32    BLK     PB     YB     BB -0.0194  -4.267
33    BLK     AK     YB     BB -0.0187  -4.054
45    BLK ABC_BC     PB     AK  0.0011   0.213
53    BLK    EBB     PB     AK  0.0106   2.155
59    BLK  ABC_A     PB     AK  0.0175   3.148
61    BLK     YB     PB     AK  0.0195   3.397
64    BLK     AK     BB     YB  0.0187   4.054
65    BLK     PB     BB     YB  0.0194   4.267
66    BLK     PB ABC_BC  ABC_A  0.0255   4.519
68    BLK     AK ABC_BC  ABC_A  0.0275   4.784
69    BLK     BB     PB     AK  0.0251   5.389
77    BLK     AK     YB ABC_BC  0.0554   8.902
78    BLK     PB     YB ABC_BC  0.0554   8.945
79    BLK     PB     YB  ABC_A  0.0781  12.091
80    BLK     AK     YB  ABC_A  0.0796  12.338
81    BLK     AK     BB ABC_BC  0.0668  13.618
83    BLK     PB     BB ABC_BC  0.0681  14.069
87    BLK     PB     BB  ABC_A  0.0898  17.653
88    BLK     AK     BB  ABC_A  0.0904  17.696
91    BLK     AK    EBB     YB  0.0872  18.687
92    BLK     PB    EBB     YB  0.0865  18.835
98    BLK     PB    EBB     BB  0.0721  25.498
99    BLK     AK    EBB     BB  0.0739  25.658
100   BLK     AK    EBB ABC_BC  0.1327  26.054
101   BLK     PB    EBB ABC_BC  0.1322  26.263
102   BLK     PB    EBB  ABC_A  0.1524  28.918
103   BLK     AK    EBB  ABC_A  0.1543  29.149
